AÑO,TRIMESTRE,PROVEEDOR,DEPARTAMENTO,MUNICIPIO,CABECERA MUNICIPAL,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2022,4,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,SANTO TOMÁS,S,SANTO TOMÁS,N,S,S,S,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,BARANOA,S,BARANOA,S,S,S,S,N,N
2021,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,TUBARÁ,N,NUEVA ESPERANZA,S,N,N,N,N,N
2021,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,PUERTO COLOMBIA,N,SABANILLA (MONTE CARMELO),S,S,S,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,PALMAR DE VARELA,S,PALMAR DE VARELA,S,S,S,N,S,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,SABANALARGA,N,AGUADA DE PABLO,S,S,S,S,N,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,SABANAGRANDE,S,SABANAGRANDE,S,S,S,S,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,LURUACO,N,ARROYO DE PIEDRA,S,S,S,S,N,N
2022,4,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,MALAMBO,S,MALAMBO,N,S,S,S,N,N
2021,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,PUERTO COLOMBIA,S,PUERTO COLOMBIA,S,S,S,S,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,LURUACO,N,SANTA CRUZ,S,S,S,S,N,N
2022,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,MALAMBO,N,CARACOLÍ,S,S,S,S,N,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,PONEDERA,N,LA RETIRADA,S,S,S,S,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,REPELÓN,N,VILLA ROSA,S,S,S,S,N,N
2021,4,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,BARANOA,N,PITAL,S,S,S,S,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,MALAMBO,N,PITALITO,S,S,S,N,N,N
2022,3,PARTNERS TELECOM COLOMBIA SAS,ATLÁNTICO,SUAN,S,SUAN,N,S,S,S,N,N
2021,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,POLONUEVO,S,POLONUEVO,S,S,S,S,N,N
2022,1,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,REPELÓN,N,ROTINET,S,S,S,S,N,N
2023,2,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,SABANAGRANDE,S,SABANAGRANDE,N,S,S,S,N,N
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,PUERTO COLOMBIA,N,SALGAR,S,S,S,N,N,N
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,LURUACO,N,SAN JUAN DE TOCAGUA,S,N,N,N,N,N
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,BARRANQUILLA,S,BARRANQUILLA,S,S,S,S,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,GALAPA,S,GALAPA,S,S,S,S,N,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,PUERTO COLOMBIA,N,SALGAR,S,S,S,S,N,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,REPELÓN,N,LAS TABLAS,S,S,S,N,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,REPELÓN,N,PITA,S,S,S,N,N,N
2022,3,PARTNERS TELECOM COLOMBIA SAS,ATLÁNTICO,JUAN DE ACOSTA,S,JUAN DE ACOSTA,N,S,S,S,N,N
2022,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,REPELÓN,N,PITA,S,S,S,S,N,N
2021,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,SANTO TOMÁS,S,SANTO TOMÁS,S,S,S,S,N,N
2023,1,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,PONEDERA,N,LA RETIRADA,S,S,S,S,N,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,CANDELARIA,N,SAN JOSÉ DEL CARRETAL,S,S,S,N,N,N
2022,2,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,PALMAR DE VARELA,S,PALMAR DE VARELA,S,S,S,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,BARANOA,N,PITAL,N,N,N,N,N,N
2021,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,BARRANQUILLA,S,BARRANQUILLA,S,S,S,S,N,N
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,MALAMBO,N,PITALITO,S,N,N,N,N,N
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,TUBARÁ,N,PLAYAS DE EDRIMÁN,S,S,N,S,N,N
2021,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,MALAMBO,S,MALAMBO,S,S,N,S,N,N
2022,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,TUBARÁ,N,VILLAS DE PALMARITO,S,S,S,S,N,N
2021,3,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,CANDELARIA,N,BUENAVENTURA DE LEÑA,S,S,S,N,N,N
2022,2,AVANTEL S.A.S,ATLÁNTICO,BARRANQUILLA,S,BARRANQUILLA,S,S,S,S,N,N
2021,3,AVANTEL S.A.S,ATLÁNTICO,CAMPO DE LA CRUZ,S,CAMPO DE LA CRUZ,S,S,S,N,N,N
2021,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,POLONUEVO,N,PITAL DEL CARLÍN (PITALITO),S,S,S,N,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,BARANOA,N,CAMPECHE,S,S,S,S,N,N
2021,3,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,BARANOA,N,CAMPECHE,S,S,S,S,N,N
2021,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,JUAN DE ACOSTA,N,SAN JOSÉ DE SACO,N,N,N,N,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,SABANALARGA,N,MIRADOR,S,S,S,S,N,N
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,MALAMBO,N,CARACOLÍ,S,N,N,N,N,N
2021,2,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,PONEDERA,S,PONEDERA,S,S,S,S,N,N
2022,2,PARTNERS TELECOM COLOMBIA SAS,ATLÁNTICO,SABANALARGA,S,SABANALARGA,N,S,S,S,N,N
