Departamento;Municipio;codigo_prestador;nombre_prestador;codigo_habilitacion;numero_sede;nombre;tipo_zona;direccion;barrio;cepo_codigo;centro_poblado;fecha_apertura;nits_nit;naju_codigo;naturaleza;clpr_codigo;clase_prestador;ese;nivel;caracter;sede_principal;habilitado;numero_sede_principal;fecha_corte_REPS
Atlántico;BARRANQUILLA;0800101330;EMPRESA SOCIAL DEL ESTADO HOSPITAL NIÑO JESUS DE BARRANQUILLA;0800101330;01;EMPRESA SOCIAL DEL ESTADO HOSPITAL NIÑO JESUS DE BARRANQUILLA;URBANA;CARRERA 75 NO.79B-50;PARAISO;8001000;DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO DE BARRA;20061116;802006728;4;Pública;1;Instituciones - IPS;SI;2;DEPARTAMENTAL;SI;SI;01;Fecha corte REPS: Oct 6 2020 10:13AM
Atlántico;BARRANQUILLA;0800101335;HOSPITAL UNIVERSITARIO C.A.R.I. E.S.E.;0800101335;01;HOSPITAL UNIVERSITARIO C.A.R.I. E.S.E. SEDE ALTA COMPLEJIDAD;URBANA;CALLE 57 23-100;;8001000;DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO DE BARRA;20061117;800253167;4;Pública;1;Instituciones - IPS;SI;3;DEPARTAMENTAL;SI;SI;01;Fecha corte REPS: Oct 6 2020 10:13AM
Atlántico;BARRANQUILLA;0800101335;HOSPITAL UNIVERSITARIO C.A.R.I. E.S.E.;0800101335;02;HOSPITAL UNIVERSITARIO C.A.R.I. E.S.E SEDE SALUD MENTAL;URBANA;CARRERA 24 # 53D-80;LOS ANDES;;;20061117;800253167;4;Pública;1;Instituciones - IPS;SI;3;DEPARTAMENTAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:13AM
Atlántico;BARANOA;0807800158;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE BARANOA;0807800158;02;CENTRO DE SALUD DE CAMPECHE;RURAL;CALLE 13 NUMERO 11 - 72;CENTRO;;;20061115;890103002;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;BARANOA;0807800158;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE BARANOA;0807800158;01;EMPRESA SOCIAL DEL ESTADO DE BARANOA;RURAL;CALLE 19 NUMERO 20 - 10;CENTRO;;;20061115;890103002;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;SI;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;BARANOA;0807800158;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE BARANOA;0807800158;04;CENTRO DE SALUD DE SIBARCO;RURAL;CALLE 3 NO 3 - 90;;;;20061115;890103002;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;BARANOA;0807800158;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE BARANOA;0807800158;03;CENTRO DE SALUD PITAL;RURAL;CORREGIMIENTO DE PITAL;;;;20061115;890103002;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;CAMPO DE LA CRUZ;0813700146;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE CAMPO DE LA CRUZ;0813700146;01;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE CAMPO DE LA CRUZ;URBANA;CALLE 10 NO 4 - 09;CRISTO REY;;;20061117;900017892;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;SI;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;CAMPO DE LA CRUZ;0813700146;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE CAMPO DE LA CRUZ;0813700146;02;PUESTO DE SALUD DE BOHORQUEZ;URBANA;CALLE 4 NO 4 - 15;CENTRO;;;20061117;900017892;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;CANDELARIA;0814100159;ESE HOSPITAL DE CANDELARIA;0814100159;01;ESE HOSPITAL DE CANDELARIA;URBANA;CALLE 15 # 22-21;SAN VICENTE;;;20160301;802010301;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;SI;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
